scenario_name,icao,holding_point,runway,time_to_takeoff_s
scenario_123.parquet,e80448,Z3,18R/36L,98.44956
scenario_124.parquet,0d0bba,LC,14R/32L,108.03477000000002
scenario_125.parquet,342189,K2,14L/32R,66.85762
scenario_126.parquet,484133,K3,14L/32R,60.05448000000002
scenario_127.parquet,34510f,Z4,18R/36L,81.06855999999999
scenario_128.parquet,34448d,LC,14R/32L,106.96724000000002
scenario_129.parquet,34224e,K2,14L/32R,120.87901999999998
scenario_130.parquet,4d2223,Z2,18R/36L,75.54137999999998
scenario_131.parquet,347454,K1,14L/32R,223.5068100000001
scenario_132.parquet,3461cb,Z3,18R/36L,103.73747999999996
scenario_133.parquet,8960f7,Y3,18L/36R,134.16165000000012
scenario_134.parquet,aac6f5,K1,14L/32R,133.46338000000003
scenario_135.parquet,3420cc,Y1,18L/36R,118.29003999999992
scenario_136.parquet,4bab2f,Z2,18R/36L,137.54475999999997
scenario_137.parquet,345353,Z2,18R/36L,79.47362
scenario_138.parquet,0a0018,Z2,18R/36L,63.27535999999999
scenario_139.parquet,34644c,LC,14R/32L,123.45546000000004
scenario_140.parquet,342091,Z4,18R/36L,92.60297999999999
scenario_141.parquet,345319,K1,14L/32R,85.63383999999998
scenario_142.parquet,345251,Z2,18R/36L,76.48031999999998
scenario_143.parquet,39bdae,Z2,18R/36L,72.09102999999999
scenario_144.parquet,3c5430,Z2,18R/36L,90.81380999999999
scenario_145.parquet,4952cf,Z2,18R/36L,77.20121000000005
scenario_146.parquet,34260e,Y1,18L/36R,123.54791999999998
scenario_147.parquet,aa2ca9,LE,14R/32L,98.51524000000003
scenario_148.parquet,34628d,Z3,18R/36L,168.89483000000004
scenario_149.parquet,345691,K1,14L/32R,120.12688999999996
scenario_150.parquet,34754c,K1,14L/32R,235.66254999999998
scenario_151.parquet,346057,Z3,18R/36L,143.58866999999992
scenario_152.parquet,342091,K2,14L/32R,67.83103000000001
scenario_153.parquet,4cadfc,Z2,18R/36L,78.12369999999999
scenario_154.parquet,0d0a9b,Z2,18R/36L,68.60397
scenario_155.parquet,34530e,K1,14L/32R,107.34219999999999
scenario_156.parquet,c0583f,LD,14R/32L,131.77318000000002
scenario_157.parquet,4cae97,Z2,18R/36L,86.31555
scenario_158.parquet,347648,Z2,18R/36L,134.37851999999995
scenario_159.parquet,3452c8,Y2,18L/36R,57.798899999999975
scenario_160.parquet,3445d4,LC,14R/32L,101.36109000000002
scenario_161.parquet,347692,Z2,18R/36L,76.13298
scenario_162.parquet,010236,Y1,18L/36R,124.01083999999996
scenario_163.parquet,3415ce,K2,14L/32R,159.20094
scenario_164.parquet,0d09ec,LC,14R/32L,111.39193999999999
scenario_165.parquet,896535,Y3,18L/36R,80.53461999999993
scenario_166.parquet,345687,LC,14R/32L,179.54658
scenario_167.parquet,3444c4,Z3,18R/36L,148.9535099999999
scenario_168.parquet,342107,K2,14L/32R,84.55552999999998
scenario_169.parquet,34260e,Y1,18L/36R,71.86955999999999
scenario_170.parquet,342188,LC,14R/32L,107.33077999999999
scenario_171.parquet,344344,LE,14R/32L,121.98121000000005
scenario_172.parquet,342188,LC,14R/32L,179.60367000000002
scenario_173.parquet,34644d,LC,14R/32L,115.43878000000001
scenario_174.parquet,020176,Z2,18R/36L,76.66505000000001
scenario_175.parquet,34604c,LE,14R/32L,121.66627999999997
scenario_176.parquet,3420cb,Y1,18L/36R,68.96159000000002
scenario_177.parquet,344416,Z4,18R/36L,155.43803
scenario_178.parquet,4cadbd,LC,14R/32L,195.31463999999994
scenario_179.parquet,347312,Y1,18L/36R,64.78372000000003
scenario_180.parquet,344487,K2,14L/32R,108.53935999999995
scenario_181.parquet,344459,Z2,18R/36L,89.86377
scenario_182.parquet,4cae97,Z2,18R/36L,118.00800000000001
scenario_183.parquet,34250a,Y3,18L/36R,61.40415999999998
scenario_184.parquet,3423c4,LC,14R/32L,167.14514000000005
scenario_185.parquet,3475c7,K1,14L/32R,91.18012
scenario_186.parquet,e94c8e,Z1,18R/36L,128.01988
scenario_187.parquet,44cdc8,Z2,18R/36L,126.01012999999998
scenario_188.parquet,346083,LC,14R/32L,107.84175000000003
scenario_189.parquet,3445d4,Z4,18R/36L,128.96533000000002
scenario_190.parquet,4d251c,Z2,18R/36L,95.21571000000002
scenario_191.parquet,34628d,Z1,18R/36L,145.87888999999998
scenario_192.parquet,342107,Z4,18R/36L,125.65003999999995
scenario_193.parquet,344416,K2,14L/32R,72.38609
