ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,fecha_despegue,hora_despegue
4952C9,2024-12-05 07:01:09.185,2024-12-05 07:01:31.777,22.592,High vortex aircraft,2024-12-05,7
4B168F,2024-12-06 18:51:30.898,2024-12-06 19:02:20.092,649.194,High vortex aircraft,2024-12-06,19
4CAD28,2024-12-06 22:20:16.147,2024-12-06 22:30:10.498,594.351,High vortex aircraft,2024-12-06,22
4CAE91,2024-12-05 09:36:37.116,2024-12-05 09:37:02.014,24.898,High vortex aircraft,2024-12-05,9
710411,2024-12-03 11:35:50.315,2024-12-03 14:48:02.063,11531.748,High vortex aircraft,2024-12-03,14
344495,2024-12-04 07:08:05.385,2024-12-04 07:08:30.452,25.067,High vortex aircraft,2024-12-04,7
344495,2024-12-05 14:56:02.436,2024-12-05 15:09:01.788,779.352,High vortex aircraft,2024-12-05,15
344495,2024-12-06 15:51:29.265,2024-12-06 15:52:05.251,35.986,Rotorcraft,2024-12-06,15
345691,2024-12-01 08:13:36.740,2024-12-01 08:13:56.663,19.923000000000002,High vortex aircraft,2024-12-01,8
345691,2024-12-01 15:37:46.331,2024-12-01 15:47:22.440,576.109,High vortex aircraft,2024-12-01,15
345691,2024-12-02 06:42:07.170,2024-12-02 06:42:32.040,24.87,Heavy (larger than 136000 kg),2024-12-02,6
345691,2024-12-02 12:01:01.399,2024-12-02 12:01:27.415,26.016,High vortex aircraft,2024-12-02,12
345691,2024-12-02 19:11:38.587,2024-12-02 19:20:30.519,531.932,High vortex aircraft,2024-12-02,19
345691,2024-12-03 09:28:32.073,2024-12-03 09:28:50.766,18.693,High vortex aircraft,2024-12-03,9
345691,2024-12-03 19:18:59.191,2024-12-03 19:19:25.251,26.06,Heavy (larger than 136000 kg),2024-12-03,19
345691,2024-12-04 09:00:38.316,2024-12-04 09:07:11.047,392.731,Heavy (larger than 136000 kg),2024-12-04,9
345691,2024-12-04 15:43:38.312,2024-12-04 15:44:09.871,31.559,High vortex aircraft,2024-12-04,15
345691,2024-12-05 07:00:46.963,2024-12-05 07:08:38.891,471.928,High vortex aircraft,2024-12-05,7
345691,2024-12-05 22:20:55.427,2024-12-05 22:21:20.904,25.477,High vortex aircraft,2024-12-05,22
345691,2024-12-06 09:58:00.600,2024-12-06 09:58:24.874,24.274,High vortex aircraft,2024-12-06,9
345691,2024-12-07 08:03:11.135,2024-12-07 08:03:36.437,25.302,Heavy (larger than 136000 kg),2024-12-07,8
347386,2024-12-02 08:13:53.883,2024-12-02 08:14:50.417,56.534,High vortex aircraft,2024-12-02,8
347386,2024-12-03 09:31:53.299,2024-12-03 13:09:30.734,13057.435,High vortex aircraft,2024-12-03,13
347386,2024-12-04 23:12:27.645,2024-12-04 23:16:49.314,261.669,High vortex aircraft,2024-12-04,23
347386,2024-12-06 12:53:12.852,2024-12-06 12:53:41.025,28.173,High vortex aircraft,2024-12-06,12
347386,2024-12-07 16:07:37.433,2024-12-07 16:08:02.487,25.054,High vortex aircraft,2024-12-07,16
488912,2024-12-02 11:48:04.993,2024-12-02 11:48:22.582,17.589,Heavy (larger than 136000 kg),2024-12-02,11
4D02DF,2024-12-05 14:59:27.956,2024-12-05 14:59:49.233,21.277,High vortex aircraft,2024-12-05,14
34644C,2024-12-01 16:31:26.809,2024-12-01 16:31:53.218,26.409,High vortex aircraft,2024-12-01,16
34644C,2024-12-02 08:22:08.270,2024-12-02 08:23:45.392,97.122,High vortex aircraft,2024-12-02,8
34644C,2024-12-03 06:13:42.037,2024-12-03 06:22:05.165,503.128,High vortex aircraft,2024-12-03,6
34644C,2024-12-03 10:22:44.841,2024-12-03 10:30:17.386,452.545,High vortex aircraft,2024-12-03,10
34644C,2024-12-03 15:02:28.278,2024-12-03 15:14:40.977,732.699,High vortex aircraft,2024-12-03,15
34644C,2024-12-04 06:29:17.960,2024-12-04 06:36:50.512,452.552,Heavy (larger than 136000 kg),2024-12-04,6
34644C,2024-12-04 10:42:16.261,2024-12-04 10:46:50.056,273.795,Heavy (larger than 136000 kg),2024-12-04,10
34644C,2024-12-04 17:40:01.755,2024-12-04 17:50:13.486,611.731,High vortex aircraft,2024-12-04,17
34644C,2024-12-05 05:35:39.934,2024-12-05 05:36:07.527,27.593,High vortex aircraft,2024-12-05,5
34644C,2024-12-05 12:56:15.018,2024-12-05 12:56:52.269,37.251,High vortex aircraft,2024-12-05,12
34644C,2024-12-05 20:43:56.552,2024-12-05 20:47:47.460,230.908,High vortex aircraft,2024-12-05,20
34644C,2024-12-06 15:17:50.369,2024-12-06 15:18:14.950,24.581,High vortex aircraft,2024-12-06,15
34644C,2024-12-07 07:27:27.329,2024-12-07 07:27:48.611,21.282,Heavy (larger than 136000 kg),2024-12-07,7
48C130,2024-12-03 09:04:50.693,2024-12-03 09:17:15.909,745.216,High vortex aircraft,2024-12-03,9
48C130,2024-12-07 09:46:00.383,2024-12-07 09:46:25.097,24.714,High vortex aircraft,2024-12-07,9
4951D9,2024-12-03 14:36:03.407,2024-12-03 14:36:35.448,32.041,High vortex aircraft,2024-12-03,14
4951D9,2024-12-04 14:42:21.081,2024-12-04 14:42:49.416,28.335,High vortex aircraft,2024-12-04,14
4B0274,2024-12-04 19:30:29.874,2024-12-04 19:30:52.583,22.709,High vortex aircraft,2024-12-04,19
4D2236,2024-12-07 10:19:31.475,2024-12-07 10:21:17.380,105.905,High vortex aircraft,2024-12-07,10
781AA6,2024-12-03 09:38:32.444,2024-12-03 10:01:58.980,1406.536,High vortex aircraft,2024-12-03,10
781AA6,2024-12-05 09:52:23.840,2024-12-05 09:52:51.736,27.896,High vortex aircraft,2024-12-05,9
AC2567,2024-12-05 12:24:28.045,2024-12-05 12:31:20.483,412.438,High vortex aircraft,2024-12-05,12
06A1D0,2024-12-07 04:36:17.897,2024-12-07 04:49:40.069,802.172,High vortex aircraft,2024-12-07,4
4B9856,2024-12-06 11:28:31.684,2024-12-06 11:28:54.647,22.963,High vortex aircraft,2024-12-06,11
896356,2024-12-02 23:28:57.679,2024-12-02 23:29:21.861,24.182,High vortex aircraft,2024-12-02,23
3472CC,2024-12-01 09:44:33.195,2024-12-01 09:53:21.422,528.227,High vortex aircraft,2024-12-01,9
3472CC,2024-12-01 19:04:45.965,2024-12-01 19:13:34.854,528.889,High vortex aircraft,2024-12-01,19
3472CC,2024-12-02 10:00:00.416,2024-12-02 10:00:28.300,27.884,High vortex aircraft,2024-12-02,10
3472CC,2024-12-03 06:43:58.527,2024-12-03 06:44:18.883,20.356,High vortex aircraft,2024-12-03,6
3472CC,2024-12-03 11:42:48.299,2024-12-03 11:43:15.124,26.825,High vortex aircraft,2024-12-03,11
3472CC,2024-12-03 18:53:19.253,2024-12-03 18:53:46.431,27.178,High vortex aircraft,2024-12-03,18
3472CC,2024-12-04 06:40:17.351,2024-12-04 06:44:05.497,228.146,High vortex aircraft,2024-12-04,6
3472CC,2024-12-04 10:37:57.862,2024-12-04 10:49:11.615,673.753,Heavy (larger than 136000 kg),2024-12-04,10
3472CC,2024-12-04 15:52:35.846,2024-12-04 15:53:00.351,24.505,High vortex aircraft,2024-12-04,15
3472CC,2024-12-05 06:52:17.217,2024-12-05 06:52:37.362,20.145,High vortex aircraft,2024-12-05,6
3472CC,2024-12-05 14:20:43.137,2024-12-05 14:21:03.852,20.715,High vortex aircraft,2024-12-05,14
3472CC,2024-12-05 21:21:57.496,2024-12-05 21:22:19.428,21.932,Heavy (larger than 136000 kg),2024-12-05,21
3472CC,2024-12-06 08:01:19.318,2024-12-06 08:12:49.544,690.226,High vortex aircraft,2024-12-06,8
3472CC,2024-12-06 14:10:34.276,2024-12-06 14:17:15.043,400.767,Heavy (larger than 136000 kg),2024-12-06,14
3472CC,2024-12-07 04:13:15.587,2024-12-07 04:13:46.451,30.864,High vortex aircraft,2024-12-07,4
3472CC,2024-12-07 10:46:44.337,2024-12-07 10:47:06.892,22.555,High vortex aircraft,2024-12-07,10
3472CC,2024-12-07 16:31:05.607,2024-12-07 16:39:01.337,475.73,Heavy (larger than 136000 kg),2024-12-07,16
347659,2024-12-03 08:14:25.012,2024-12-03 08:15:51.155,86.143,High vortex aircraft,2024-12-03,8
347659,2024-12-04 23:02:43.256,2024-12-04 23:08:36.306,353.05,High vortex aircraft,2024-12-04,23
347659,2024-12-06 11:09:30.237,2024-12-06 11:09:53.504,23.267,High vortex aircraft,2024-12-06,11
347659,2024-12-07 11:48:15.822,2024-12-07 11:48:40.168,24.346,High vortex aircraft,2024-12-07,11
4CA849,2024-12-06 22:18:56.162,2024-12-06 22:20:18.926,82.764,High vortex aircraft,2024-12-06,22
010245,2024-12-04 14:22:54.143,2024-12-04 14:24:05.091,70.948,High vortex aircraft,2024-12-04,14
34520B,2024-12-02 15:15:09.397,2024-12-02 15:22:00.465,411.068,High vortex aircraft,2024-12-02,15
34520B,2024-12-03 12:10:14.997,2024-12-03 12:11:04.781,49.784,High vortex aircraft,2024-12-03,12
34520B,2024-12-04 15:22:57.990,2024-12-04 15:23:24.629,26.639,High vortex aircraft,2024-12-04,15
34520B,2024-12-05 15:28:12.933,2024-12-05 15:28:40.427,27.494,High vortex aircraft,2024-12-05,15
34520B,2024-12-06 11:34:21.474,2024-12-06 11:34:41.825,20.351,High vortex aircraft,2024-12-06,11
34530E,2024-12-01 06:26:55.413,2024-12-01 06:41:34.771,879.358,High vortex aircraft,2024-12-01,6
34530E,2024-12-01 10:41:57.389,2024-12-01 10:51:25.117,567.728,High vortex aircraft,2024-12-01,10
34530E,2024-12-01 14:57:24.286,2024-12-01 15:01:51.544,267.258,High vortex aircraft,2024-12-01,15
34530E,2024-12-01 15:05:22.361,2024-12-01 15:05:55.271,32.91,High vortex aircraft,2024-12-01,15
34530E,2024-12-01 19:13:51.497,2024-12-01 19:14:12.977,21.48,High vortex aircraft,2024-12-01,19
34530E,2024-12-02 09:47:45.692,2024-12-02 09:48:05.473,19.781,High vortex aircraft,2024-12-02,9
34530E,2024-12-02 16:21:38.442,2024-12-02 16:22:55.579,77.137,High vortex aircraft,2024-12-02,16
34530E,2024-12-03 05:23:33.400,2024-12-03 05:38:09.862,876.462,High vortex aircraft,2024-12-03,5
34530E,2024-12-03 15:06:49.173,2024-12-03 15:07:17.497,28.324,High vortex aircraft,2024-12-03,15
34530E,2024-12-04 08:44:30.674,2024-12-04 08:56:38.213,727.539,High vortex aircraft,2024-12-04,8
34530E,2024-12-06 06:22:13.945,2024-12-06 06:30:57.371,523.426,High vortex aircraft,2024-12-06,6
34530E,2024-12-06 06:33:45.234,2024-12-06 06:34:10.603,25.369,High vortex aircraft,2024-12-06,6
34530E,2024-12-06 10:37:36.317,2024-12-06 10:37:37.380,1.063,High vortex aircraft,2024-12-06,10
34530E,2024-12-06 10:39:15.278,2024-12-06 10:39:40.581,25.303,High vortex aircraft,2024-12-06,10
34530E,2024-12-06 14:59:49.093,2024-12-06 15:00:19.625,30.532,High vortex aircraft,2024-12-06,15
34530E,2024-12-06 19:03:28.576,2024-12-06 19:03:51.378,22.802,High vortex aircraft,2024-12-06,19
34530E,2024-12-07 09:25:32.894,2024-12-07 09:29:42.642,249.748,High vortex aircraft,2024-12-07,9
34530E,2024-12-07 15:18:41.463,2024-12-07 15:21:40.042,178.579,High vortex aircraft,2024-12-07,15
34530E,2024-12-07 22:11:59.379,2024-12-07 22:12:19.716,20.337,High vortex aircraft,2024-12-07,22
3C6659,2024-12-01 13:57:25.591,2024-12-01 14:06:21.563,535.972,High vortex aircraft,2024-12-01,14
3C6659,2024-12-04 07:38:29.291,2024-12-04 07:38:59.254,29.963,High vortex aircraft,2024-12-04,7
44CC41,2024-12-06 05:39:49.000,2024-12-06 05:40:06.495,17.495,High vortex aircraft,2024-12-06,5
4D2265,2024-12-06 14:08:47.052,2024-12-06 14:10:15.448,88.396,High vortex aircraft,2024-12-06,14
010249,2024-12-02 12:30:28.788,2024-12-02 12:31:00.396,31.608,High vortex aircraft,2024-12-02,12
02007A,2024-12-07 12:44:00.525,2024-12-07 12:44:22.020,21.495,High vortex aircraft,2024-12-07,12
346181,2024-12-01 14:14:11.371,2024-12-01 14:14:48.838,37.467,High vortex aircraft,2024-12-01,14
346181,2024-12-03 23:18:18.552,2024-12-03 23:20:33.109,134.557,High vortex aircraft,2024-12-03,23
346181,2024-12-05 15:51:31.515,2024-12-05 15:52:18.996,47.481,High vortex aircraft,2024-12-05,15
346181,2024-12-06 14:51:54.180,2024-12-06 14:52:31.876,37.696,High vortex aircraft,2024-12-06,14
346181,2024-12-07 15:08:49.347,2024-12-07 15:09:24.404,35.057,High vortex aircraft,2024-12-07,15
346555,2024-12-02 12:52:50.461,2024-12-02 12:53:24.922,34.461,High vortex aircraft,2024-12-02,12
346555,2024-12-03 23:25:21.031,2024-12-03 23:32:20.023,418.992,High vortex aircraft,2024-12-03,23
346555,2024-12-05 11:35:37.991,2024-12-05 11:36:01.050,23.059,High vortex aircraft,2024-12-05,11
346555,2024-12-06 12:33:12.296,2024-12-06 12:33:39.264,26.968,High vortex aircraft,2024-12-06,12
346555,2024-12-07 23:27:33.174,2024-12-07 23:27:58.554,25.38,High vortex aircraft,2024-12-07,23
452163,2024-12-01 17:47:45.840,2024-12-01 17:54:39.361,413.521,High vortex aircraft,2024-12-01,17
48418A,2024-12-03 12:06:09.496,2024-12-03 12:34:39.378,1709.882,High vortex aircraft,2024-12-03,12
4911EC,2024-12-02 16:15:47.804,2024-12-02 16:16:10.898,23.094,High vortex aircraft,2024-12-02,16
4D21F2,2024-12-05 08:28:31.549,2024-12-05 08:28:55.621,24.072,High vortex aircraft,2024-12-05,8
4D21F2,2024-12-05 16:22:13.465,2024-12-05 16:23:19.233,65.768,High vortex aircraft,2024-12-05,16
4D21F2,2024-12-06 22:21:45.641,2024-12-06 22:22:16.424,30.783,High vortex aircraft,2024-12-06,22
4D220C,2024-12-02 12:33:02.137,2024-12-02 12:33:24.884,22.747,High vortex aircraft,2024-12-02,12
4D220C,2024-12-04 15:50:17.417,2024-12-04 15:51:14.308,56.891,High vortex aircraft,2024-12-04,15
8964C1,2024-12-06 09:02:45.331,2024-12-06 09:04:21.328,95.997,High vortex aircraft,2024-12-06,9
345318,2024-12-01 15:37:16.091,2024-12-01 15:43:50.925,394.834,Heavy (larger than 136000 kg),2024-12-01,15
345318,2024-12-02 16:06:25.960,2024-12-02 16:06:56.113,30.153,High vortex aircraft,2024-12-02,16
345318,2024-12-03 11:19:41.675,2024-12-03 11:20:51.841,70.166,High vortex aircraft,2024-12-03,11
345318,2024-12-05 11:10:34.887,2024-12-05 11:11:48.644,73.757,High vortex aircraft,2024-12-05,11
345318,2024-12-06 15:35:02.147,2024-12-06 15:36:36.368,94.221,High vortex aircraft,2024-12-06,15
345318,2024-12-07 14:46:25.277,2024-12-07 14:46:50.280,25.003,High vortex aircraft,2024-12-07,14
394C0C,2024-12-01 05:11:09.280,2024-12-01 05:23:08.353,719.073,Heavy (larger than 136000 kg),2024-12-01,5
394C0C,2024-12-05 20:07:02.209,2024-12-05 20:07:25.105,22.896,High vortex aircraft,2024-12-05,20
4B027D,2024-12-02 10:10:59.909,2024-12-02 10:28:12.248,1032.339,High vortex aircraft,2024-12-02,10
4B027D,2024-12-05 20:53:52.199,2024-12-05 20:54:14.920,22.721,High vortex aircraft,2024-12-05,20
4CA7B6,2024-12-04 06:19:54.577,2024-12-04 06:32:33.066,758.489,High vortex aircraft,2024-12-04,6
4CA7B6,2024-12-04 12:30:03.081,2024-12-04 12:30:27.196,24.115,High vortex aircraft,2024-12-04,12
4D22BD,2024-12-02 10:02:33.953,2024-12-02 10:03:00.807,26.854,High vortex aircraft,2024-12-02,10
4D227A,2024-12-02 08:02:42.476,2024-12-02 08:16:37.633,835.157,High vortex aircraft,2024-12-02,8
4D227A,2024-12-02 15:12:18.171,2024-12-02 15:12:44.912,26.741,Heavy (larger than 136000 kg),2024-12-02,15
4D227A,2024-12-03 12:04:48.216,2024-12-03 12:05:20.293,32.077,High vortex aircraft,2024-12-03,12
4D227A,2024-12-06 06:27:04.229,2024-12-06 06:27:26.928,22.699,High vortex aircraft,2024-12-06,6
4D227A,2024-12-06 11:47:39.805,2024-12-06 11:48:00.166,20.361,High vortex aircraft,2024-12-06,11
4D227A,2024-12-06 18:03:50.503,2024-12-06 18:10:49.760,419.257,Rotorcraft,2024-12-06,18
4D227A,2024-12-07 05:56:09.490,2024-12-07 05:56:35.222,25.732,High vortex aircraft,2024-12-07,5
4D227A,2024-12-07 10:23:42.562,2024-12-07 10:24:07.779,25.217,Heavy (larger than 136000 kg),2024-12-07,10
4D227A,2024-12-07 17:53:30.760,2024-12-07 17:53:52.982,22.222,High vortex aircraft,2024-12-07,17
A5950A,2024-12-07 20:03:01.373,2024-12-07 20:03:13.436,12.063,High vortex aircraft,2024-12-07,20
06A136,2024-12-07 15:03:47.255,2024-12-07 15:04:19.552,32.297,High vortex aircraft,2024-12-07,15
344503,2024-12-01 15:26:04.165,2024-12-01 15:27:26.234,82.069,High vortex aircraft,2024-12-01,15
344503,2024-12-02 15:20:07.612,2024-12-02 15:26:08.097,360.485,High vortex aircraft,2024-12-02,15
344503,2024-12-03 23:18:25.206,2024-12-03 23:18:47.916,22.71,High vortex aircraft,2024-12-03,23
344503,2024-12-06 15:14:53.848,2024-12-06 15:16:43.476,109.628,High vortex aircraft,2024-12-06,15
344503,2024-12-07 15:30:56.005,2024-12-07 15:31:32.614,36.609,High vortex aircraft,2024-12-07,15
345698,2024-12-01 06:50:44.951,2024-12-01 06:57:07.318,382.367,High vortex aircraft,2024-12-01,6
345698,2024-12-01 07:02:53.559,2024-12-01 07:02:54.896,1.337,High vortex aircraft,2024-12-01,7
345698,2024-12-01 07:04:19.710,2024-12-01 07:04:50.916,31.206,High vortex aircraft,2024-12-01,7
345698,2024-12-01 10:57:12.182,2024-12-01 11:07:28.107,615.925,High vortex aircraft,2024-12-01,11
345698,2024-12-01 15:23:53.219,2024-12-01 15:24:35.688,42.469,High vortex aircraft,2024-12-01,15
345698,2024-12-01 18:42:15.029,2024-12-01 18:54:11.399,716.37,High vortex aircraft,2024-12-01,18
345698,2024-12-02 07:18:28.024,2024-12-02 07:19:13.920,45.896,High vortex aircraft,2024-12-02,7
345698,2024-12-02 10:54:28.798,2024-12-02 11:00:33.759,364.961,High vortex aircraft,2024-12-02,11
345698,2024-12-02 15:35:07.411,2024-12-02 15:36:21.169,73.758,High vortex aircraft,2024-12-02,15
345698,2024-12-02 18:57:33.955,2024-12-02 18:57:54.550,20.595,High vortex aircraft,2024-12-02,18
345698,2024-12-03 09:06:44.780,2024-12-03 09:19:49.174,784.394,High vortex aircraft,2024-12-03,9
345698,2024-12-03 14:43:10.830,2024-12-03 14:45:02.140,111.31,High vortex aircraft,2024-12-03,14
345698,2024-12-03 14:46:42.953,2024-12-03 14:51:12.437,269.484,High vortex aircraft,2024-12-03,14
345698,2024-12-03 15:03:02.756,2024-12-03 15:03:22.940,20.184,High vortex aircraft,2024-12-03,15
345698,2024-12-03 18:45:36.596,2024-12-03 18:46:10.312,33.716,High vortex aircraft,2024-12-03,18
345698,2024-12-04 06:49:03.831,2024-12-04 06:50:25.544,81.713,High vortex aircraft,2024-12-04,6
345698,2024-12-04 11:27:32.831,2024-12-04 11:28:08.048,35.217,High vortex aircraft,2024-12-04,11
345698,2024-12-04 15:17:00.542,2024-12-04 15:17:35.328,34.786,High vortex aircraft,2024-12-04,15
345698,2024-12-04 21:10:12.761,2024-12-04 21:20:39.592,626.831,High vortex aircraft,2024-12-04,21
345698,2024-12-05 09:49:20.274,2024-12-05 09:49:53.723,33.449,High vortex aircraft,2024-12-05,9
345698,2024-12-05 15:31:17.508,2024-12-05 15:32:56.946,99.438,High vortex aircraft,2024-12-05,15
345698,2024-12-07 14:46:56.642,2024-12-07 14:56:17.544,560.902,High vortex aircraft,2024-12-07,14
345698,2024-12-07 19:01:53.547,2024-12-07 19:02:17.756,24.209,High vortex aircraft,2024-12-07,19
346310,2024-12-01 10:40:15.081,2024-12-03 02:58:40.159,145105.078,High vortex aircraft,2024-12-03,2
346310,2024-12-03 14:27:59.718,2024-12-03 14:33:18.846,319.128,High vortex aircraft,2024-12-03,14
346310,2024-12-03 23:26:56.230,2024-12-03 23:37:50.917,654.687,High vortex aircraft,2024-12-03,23
346310,2024-12-05 15:34:00.977,2024-12-05 15:34:37.093,36.116,High vortex aircraft,2024-12-05,15
346310,2024-12-06 15:47:42.391,2024-12-06 15:48:23.927,41.536,High vortex aircraft,2024-12-06,15
346310,2024-12-07 14:42:38.207,2024-12-07 14:59:09.153,990.946,High vortex aircraft,2024-12-07,14
346310,2024-12-07 23:46:02.551,2024-12-07 23:47:33.248,90.697,High vortex aircraft,2024-12-07,23
4D2038,2024-12-02 20:29:42.360,2024-12-02 20:48:52.369,1150.009,High vortex aircraft,2024-12-02,20
347311,2024-12-01 06:35:45.174,2024-12-01 06:36:10.807,25.633,High vortex aircraft,2024-12-01,6
347311,2024-12-02 14:31:24.478,2024-12-02 14:32:01.456,36.978,High vortex aircraft,2024-12-02,14
347311,2024-12-03 07:24:52.491,2024-12-03 07:25:16.349,23.858,High vortex aircraft,2024-12-03,7
347311,2024-12-03 14:24:12.099,2024-12-03 14:24:38.649,26.55,High vortex aircraft,2024-12-03,14
347311,2024-12-04 06:40:20.482,2024-12-04 06:40:47.989,27.507,High vortex aircraft,2024-12-04,6
347311,2024-12-04 14:40:19.588,2024-12-04 14:40:46.044,26.456,High vortex aircraft,2024-12-04,14
347311,2024-12-05 06:55:47.682,2024-12-05 06:56:12.640,24.958,High vortex aircraft,2024-12-05,6
347311,2024-12-05 12:14:52.591,2024-12-06 06:17:29.980,64957.389,High vortex aircraft,2024-12-06,6
347311,2024-12-06 14:43:05.076,2024-12-06 14:44:50.299,105.223,High vortex aircraft,2024-12-06,14
347311,2024-12-07 13:42:45.663,2024-12-07 13:52:36.637,590.974,High vortex aircraft,2024-12-07,13
347311,2024-12-07 17:59:31.098,2024-12-07 18:06:25.024,413.926,Heavy (larger than 136000 kg),2024-12-07,18
020124,2024-12-06 20:53:07.944,2024-12-06 21:01:58.724,530.78,High vortex aircraft,2024-12-06,21
345583,2024-12-01 07:22:03.470,2024-12-01 07:31:56.820,593.35,High vortex aircraft,2024-12-01,7
345583,2024-12-01 11:47:00.633,2024-12-01 11:55:48.579,527.946,High vortex aircraft,2024-12-01,11
345583,2024-12-01 15:56:46.438,2024-12-01 15:57:19.455,33.017,Heavy (larger than 136000 kg),2024-12-01,15
345583,2024-12-01 19:24:35.599,2024-12-01 19:25:27.531,51.932,High vortex aircraft,2024-12-01,19
345583,2024-12-02 07:17:46.825,2024-12-02 07:23:00.825,314.0,Heavy (larger than 136000 kg),2024-12-02,7
345583,2024-12-02 11:15:36.681,2024-12-02 11:16:02.232,25.551,High vortex aircraft,2024-12-02,11
345583,2024-12-02 14:55:57.102,2024-12-02 15:06:55.043,657.941,Heavy (larger than 136000 kg),2024-12-02,15
345583,2024-12-02 19:14:26.646,2024-12-02 19:25:09.712,643.066,Heavy (larger than 136000 kg),2024-12-02,19
345583,2024-12-03 08:27:37.339,2024-12-03 08:28:29.477,52.138,High vortex aircraft,2024-12-03,8
345583,2024-12-03 15:01:04.092,2024-12-03 15:13:29.473,745.381,High vortex aircraft,2024-12-03,15
345583,2024-12-03 21:01:50.004,2024-12-03 21:13:19.342,689.338,High vortex aircraft,2024-12-03,21
345583,2024-12-04 09:05:21.857,2024-12-04 09:07:12.715,110.858,High vortex aircraft,2024-12-04,9
345583,2024-12-04 09:17:11.776,2024-12-04 09:17:25.909,14.133,High vortex aircraft,2024-12-04,9
345583,2024-12-04 15:30:06.974,2024-12-04 15:31:28.511,81.537,High vortex aircraft,2024-12-04,15
345583,2024-12-04 18:52:54.159,2024-12-04 18:54:10.118,75.959,High vortex aircraft,2024-12-04,18
345583,2024-12-05 06:56:08.439,2024-12-05 06:56:37.578,29.139,Heavy (larger than 136000 kg),2024-12-05,6
345583,2024-12-05 10:43:53.710,2024-12-05 10:49:44.611,350.901,High vortex aircraft,2024-12-05,10
345583,2024-12-05 15:11:03.445,2024-12-05 15:11:27.650,24.205,High vortex aircraft,2024-12-05,15
345583,2024-12-05 20:03:38.398,2024-12-05 20:13:53.147,614.749,High vortex aircraft,2024-12-05,20
345595,2024-12-04 18:22:43.429,2024-12-04 18:23:11.342,27.913,High vortex aircraft,2024-12-04,18
346146,2024-12-02 07:09:37.052,2024-12-02 07:20:05.392,628.34,High vortex aircraft,2024-12-02,7
346146,2024-12-03 23:27:26.214,2024-12-03 23:27:45.997,19.783,High vortex aircraft,2024-12-03,23
346146,2024-12-05 11:56:50.014,2024-12-05 11:57:15.516,25.502,High vortex aircraft,2024-12-05,11
346146,2024-12-06 11:32:31.799,2024-12-06 11:32:53.929,22.13,High vortex aircraft,2024-12-06,11
346146,2024-12-07 16:19:35.553,2024-12-07 16:19:59.546,23.993,High vortex aircraft,2024-12-07,16
4691C1,2024-12-03 17:24:11.840,2024-12-03 17:34:50.116,638.276,High vortex aircraft,2024-12-03,17
486651,2024-12-07 16:21:58.698,2024-12-07 16:22:14.458,15.76,High vortex aircraft,2024-12-07,16
